gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5293209560	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/306396231	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius		IN		Kerala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.146852	77.156433	31208.0						2025-08-14T15:03	14	8	2025	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	306396231		Priyanshu Bansal	2025-08-15T02:24:57	CC_BY_NC_4_0	Priyanshu Bansal	Priyanshu Bansal			2025-10-20T21:40:25.958Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5292450697	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/305686018	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius		IN		Kerala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.083998	77.139043	31208.0						2022-12-21T10:43	21	12	2022	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	305686018		Rudy Ghosh	2025-08-12T03:02:03	CC_BY_NC_4_0	Rudy Ghosh	Rudy Ghosh			2025-10-20T20:36:48.938Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5281872949	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/297879899	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius		IN		Kerala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.086453	77.105545	31208.0						2025-07-14T12:44:40	14	7	2025	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	297879899		Ashwin A	2025-07-17T16:44:26	CC_BY_4_0	Ashwin A	Ashwin A			2025-10-20T20:35:08.057Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5237997570	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/297878759	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius		IN		Kerala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.148048	77.072938	31208.0						2025-07-14T12:36:45	14	7	2025	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	297878759		Ashwin A	2025-07-17T18:38:28	CC_BY_4_0	Ashwin A	Ashwin A			2025-10-20T21:38:53.569Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5237827591	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/297880000	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius		IN		Kerala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.169798	77.098269	31208.0						2025-07-14T12:46:23	14	7	2025	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	297880000		Ashwin A	2025-07-17T16:44:13	CC_BY_4_0	Ashwin A	Ashwin A			2025-10-20T20:35:09.815Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5237695595	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/297877727	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius		IN		Kerala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.156649	77.107273	31208.0						2025-07-14T12:29:02	14	7	2025	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	297877727		Ashwin A	2025-07-17T18:40:06	CC_BY_4_0	Ashwin A	Ashwin A			2025-10-20T20:35:09.524Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5231337979	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/297852149	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius		IN		Kerala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.186785	77.009191	31208.0						2024-11-02T13:19	2	11	2024	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	297852149		P Jeganathan	2025-07-14T10:28:35	CC_BY_4_0	P Jeganathan	P Jeganathan			2025-10-20T22:37:39.458Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5231281613	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/297245049	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius					PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d			31208.0						2025-07-12	12	7	2025	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	297245049		Amaël Borzée	2025-07-12T10:23:09	CC_BY_NC_4_0	Amaël Borzée	Amaël Borzée			2025-10-20T21:38:43.328Z	StillImage	
5231107611	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/297244888	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius					PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d			31208.0						2025-07-12T11:26:07	12	7	2025	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	297244888		Amaël Borzée	2025-07-12T10:22:15	CC_BY_NC_4_0	Amaël Borzée	Amaël Borzée			2025-10-20T20:35:00.314Z	StillImage	
5231052954	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/297851572	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Hemitragus	Hemitragus hylocrius		SPECIES	Nilgiritragus hylocrius (Ogilby, 1838)	Nilgiritragus hylocrius		IN		Kerala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.042628	77.033271	31208.0						2024-11-02T12:14	2	11	2024	5787005	5220175	HUMAN_OBSERVATION	iNaturalist	Observations	297851572		P Jeganathan	2025-07-14T10:25:18	CC_BY_4_0	P Jeganathan	P Jeganathan			2025-10-20T20:35:08.816Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
